Target Word,Joined,Label
carry,You must carry your camping gear . Sound carries well over water .,0.0068690046
go,Messages must go through diplomatic channels . Do you think the sofa will go through the door ?,2.3604396e-05
break,Break an alibi . The wholesaler broke the container loads into palettes and boxes for local retailers .,3.6915534e-08
cup,He wore a jock strap with a metal cup . Bees filled the waxen cups with honey .,0.9999992
academy,The Academy of Music . The French Academy .,4.8645474e-09
set,Set the table . To set glass in a sash .,2.6758265e-05
starch,Starch clothes . She starched her blouses .,0.9999944
take,Do you take sugar in your coffee ? A reading was taken of the earth 's tremors .,1.10359015e-05
avoid,I try to avoid the company of gamblers . We avoided the ball .,0.9999997
clearance,"He got clearance to travel to America , even though he had previous links to terrorists . The plane got clearance from air traffic control , and we were off .",1.0
come,Come out of the closet ! He came singing down the road .,0.99948
coverage,"Before laying sod on that clay , the ground needs two inches of coverage with topsoil . The dictionary 's coverage of standard English is excellent .",1.0
death,Her death came as a terrible shock . He had two deaths on his conscience .,3.1377597e-06
despite,The despite in which outsiders were held is legendary . She wanted neither favor nor despite .,9.970412e-06
school,A school of small glittering fish swam by . The divers encountered a huge school of mackerel .,1.0
go,We should go farther in this matter . She went through a lot of trouble .,0.9999995
action,The United Nations must have the power to propose and organize action without being hobbled by irrelevant issues . Recent federal action undermined the segregationist position .,1.0
fall,Fall by the wayside . The cities fell to the enemy .,8.017851e-05
work,This dough does not work easily . Work the phones .,1.5074086e-06
shock,The armies met in the shock of battle . The train hit the buffers with a great shock .,8.786653e-06
play,This speech did n't play well with the American public . Play football .,8.0628797e-07
make,What do you make of his remarks ? Make a dress .,3.9844707e-08
end,The so-called glorious experiment came to an inglorious end . The end was exciting .,4.619457e-09
break,There was a break in the action when a player was hurt . He was up two breaks in the second set .,0.037711702
life,It was a heavy play and the actors tried in vain to give life to it . The life of this milk carton may be thousands of years in this landfill .,2.57479e-13
person,"There was too much for one person to do . Each person is unique , both mentally and physically .",0.9999959
answer,Answer the door . She answered the door .,0.9999997
do,All you ever do is surf the Internet . A ' B ' grade does n't suffice to get me into medical school .,0.037711702
play,Play fair . Play football .,0.002195033
see,What message do you see in this letter ? We had to see a psychiatrist .,0.0017218817
buff,To strip to the buff . Swimming in the buff .,0.99984723
boy,She made the boy brush his teeth every night . Most soldiers are only boys in uniform .,0.9999981
picture,She was the picture of despair . The very picture of a modern general .,0.9998327
answer,She did n't want to answer . This may answer her needs .,9.33418e-05
head,Tickets are $ 5 per head . He is two heads taller than his little sister .,0.00011066125
break,"Break into tears . If the vase falls to the floor , it might break .",1.4301203e-06
die,To die to pleasure or to sin . She died from cancer .,0.9997667
peak,The stock market reached a peak in September 1929 . Voltage peak .,0.99999964
civilization,A hermit does n't much care for civilization . Early Mayan civilization .,0.9999986
carry,These bonds carry warrants . She carries her ideas to the extreme .,4.586839e-06
shot,He wanted a shot at the champion . I caught him with a solid shot to the chin .,0.006861821
body,"The body of the car was badly rusted . Penny was in the scullery , pressing the body of her new dress .",0.037711702
cut,Cut a ticket . Cut orders .,0.9999039
recognition,She seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own . Give her recognition for trying .,0.037711702
shift,You have to shift when you go down a steep hill . He shifted in his seat .,0.010233515
cube,A stock cube . A sugar cube .,1.0
follow,Let 's follow our great helmsman ! He followed his lecture with a question and answer period .,2.1412332e-06
apply,I apply this rule to get good results . Apply a magnetic field here .,0.99999124
fall,Fall asleep . She fell ill .,1.0
make,She may not make the grade . Make a stir .,1.5597315e-07
head,Under the head of minor Roman poets . They tracked him back toward the head of the stream .,2.1795363e-07
head,A reduction in the assessment per head of sheep . 200 head of cattle and 50 head of horses .,1.0
give,Give a divorce . The wall gave in .,2.4418983e-07
drive,To drive sheep out of a field . Drive the cows into the barn .,0.9999892
fall,Fall by the wayside . To fall a tree .,3.3696048e-07
gob,He ′s always stuffing his gob with fast food . She 's got such a gob on her – she′s always gossiping about someone or other .,1.0
scale,The scale of the map . The scale of the model .,0.99999994
stand,We had to stand for the entire performance ! On the pedestal stood a statue .,0.99999994
make,She may not make the grade . He made twenty bucks playing poker last night .,6.791728e-06
furniture,The woman does not even have one stick of furniture moved in yet . There was only one piece of furniture in the room .,1.0
give,Give a yelp . This student gives promise of real creativity .,6.3702823e-06
cut,Cut a movie scene . Cut a Ping-Pong ball .,2.128058e-06
extension,Most BASIC files use the filename extension .BAS . A text file will have a file extension of .txt .,1.0
seat,He was elected to a seat in the Senate . He dusted off the seat before sitting down .,1.52447155e-05
make,Make enemies . What do you make of his remarks ?,3.782577e-08
make,We should make Cincinnati by 7 tonight . Make the bed .,7.737206e-08
take,"Do you take me for a fool ? Looking at him as he came into the room , I took him for his father .",1.0
tea,Tea has fragrant white flowers . Iced tea is a cooling drink .,0.000919429
take,Take sick . I estimate the trip will take about ten minutes .,9.977452e-05
way,Do you know the way to the airport ? He said he was looking for the way out .,0.99999875
head,The head of the compass needle is pointing due north . 200 head of cattle .,2.7852784e-05
lift,Lift the box onto the table . I lifted the books .,0.99628997
space,The astronauts walked in outer space without a tether . The space between his teeth .,0.00018611392
score,What was your score on your homework ? The score was 7 to 0 .,0.0012316352
work,How does your idea work in practice ? The voting process does n't work as well as people thought .,0.9999998
double,He could be Gingrich 's double . Saddam Hussein was rumored to have many doubles .,0.99999696
space,The space between his teeth . The architect left space in front of the building .,0.99818486
fix,"Fix breakfast for the guests , please . That 'll fix him good !",0.000351118
head,Matters came to a head yesterday . The head of the column advanced boldly .,6.076313e-07
show,He bet $ 2 on number six to show . I showed the customer the glove section .,2.9672246e-05
take,I take it you 're not going ? He was often taken to be a man of means .,1.0
cut,The employer wants to cut back health benefits . Cut trenches .,6.675439e-07
cot,A roller cot ( the clothing of a drawing roller in a spinning frame ) . A cot for a sore finger .,0.9999957
run,These dyes and colors are guaranteed not to run . The sale will run for ten days .,9.629244e-05
see,Now I see ! I want to see whether she speaks French .,1.0831135e-05
drive,Drive the cows into the barn . Their debts finally drove them to sell the business .,8.433174e-06
bit,A bit of lint . The horse was not accustomed to a bit .,0.014439652
stir,Stir the soil . Stir emotions .,1.0824088e-05
trombone,This trombone is very expensive . Jim plays the trombone very well .,0.999994
fall,To fall a tree . Night fell .,0.99999005
trace,Trace your path . Trace the outline of a figure in the sand .,0.037711702
take,Take a pulse . A reading was taken of the earth 's tremors .,0.9999958
carry,I will carry the secret to my grave . I carry a lot of life insurance .,0.99999994
body,"Penny was in the scullery , pressing the body of her new dress . Heavenly body .",2.5146974e-06
hold,I hold with those who say life is sacred . Hold all calls to the President 's office while he is in a meeting .,0.037711702
build,Build a reputation . Build detergents .,2.2230797e-05
smooth,Smooth the way towards peace negotiations . Smooth the surface of the wood .,0.016806826
carry,We carry a very large mortgage . The troops carried the town after a brief fight .,0.037711702
war,"The war against crime . The "" war on terror "" is a campaign against terrorist crime .",1.0
reply,Please reply to my letter . He replied that he was not sure .,0.99998957
house,The children were playing house . She felt she had to get out of the house .,4.201419e-05
position,What position does he play ? Stop running all over the field and play your position !,0.9999957
play,Play sports . Who 's playing now ?,1.0
circus,The circus will be in town next week . He ran away from home to join the circus .,0.9870012
break,Break a law . Her voice broke to a whisper when she started to talk about her children .,1.8117277e-09
woodenness,There was a certain woodenness in his replies . He criticized the woodenness of the acting .,0.9998329
wreck,Thanks to that quack I am a human wreck . The house was a wreck when they bought it .,1.0
catch,Catch the mood . Do n't catch your meaning .,1.832968e-06
blip,Renewed jitters in the wake of a blip in retail sales . The market had one bad blip today .,1.0
vegetate,The fields vegetate vigorously . The bacterial growth vegetated along .,0.0015223048
drag,Peeling potatoes is a drag . He took a drag on his cigarette and expelled the smoke slowly .,0.037711702
score,He tried to blame the victim but his success on that score was doubtful . Settling a score .,8.756566e-08
head,She gave great head . They tracked him back toward the head of the stream .,0.00013089657
volume,Please turn down the volume on the stereo . The kids played their music at full volume .,0.999977
top,He removed the top of the carton . He could n't get the top off of the bottle .,0.9999933
stand,We had to stand for the entire performance ! There stood on the corner a statue .,1.0
breath,He took a deep breath and dived into the pool . I could feel the runner 's breath on my shoulder .,0.037711702
take,Take steps . Take action .,0.99998593
stuff,What is all that stuff on your bedroom floor ? You do n't have the stuff to be a United States Marine .,0.037711702
raise,Raise a mutiny . Raise the roof .,0.008882241
fire,We sat around the fire singing songs and telling stories . Barbecue over an open fire .,1.2417292e-05
start,Start a new job . I start my day with a good breakfast .,7.030419e-06
run,The sale will run for ten days . The meeting ran late .,0.99992704
do,Do nothing . A ' B ' grade does n't suffice to get me into medical school .,1.9300121e-05
absence,He was surprised by the absence of any explanation . Absence makes the heart grow fonder .,1.0
cut,Cut a check . Cut the rope .,3.7899108e-06
ream,Ream oranges . The dentist reamed out the debris in the course of the root canal treatment .,9.998514e-07
run,Do n't run that software unless you have permission . ' . Run rogue .,0.0027175618
run,I will run the sample . Our coach had us running plays for the whole practice .,0.99999946
keep,May God keep you . The student was kept after school .,7.0313054e-06
work,Work one 's way through the crowd . She never worked because she inherited a lot of money .,0.00024967716
draw,Draw water for a bath . Draw parallels .,0.0005295424
make,Clothes make the man . He made to speak but said nothing in the end .,4.0503733e-06
admit,We 'll have to vote on whether or not to admit a new member . He admitted his guilt .,2.706937e-07
take,You ca n't take credit for this ! We took an apartment on a quiet street .,0.0026298522
make,Make a mess in one 's office . She 'll make a fine president .,2.310233e-05
stake,I will stake my good reputation for this . Stake your goat .,3.527151e-07
make,He did n't make the choir after his voice changed . You have to spend money to make money !,0.99999976
order,The machine is now in working order . A friend in New Mexico said that the order caused no trouble out there .,0.037711833
work,The voting process does n't work as well as people thought . This method does n't work .,0.9997083
stuff,There 's good stuff in that book . The stuff of heros .,5.2843803e-05
interception,He resorted to the interception of his daughter 's letters . He claimed that the interception of one missile by another would be impossible .,0.99999994
raise,Raise a smile . Raise your ` o ' .,2.4932297e-06
place,If you were in my place what would you do ? He has a special place in my thoughts .,4.5999278e-07
take,Take steps . Shall we take a guide in Rome ?,3.5642816e-07
head,They say he gives good head . The head of the list .,7.345036e-06
drug,You look like someone drug you behind a horse for half a mile . They drugged the kidnapped tourist .,0.9999937
place,He overstepped his place . He put the lamp back in its place .,6.553197e-07
raise,Raise the question of promotions . Raise from the dead .,3.7885115e-07
fall,Fall by the wayside . Christmas falls on a Monday this year .,3.4121406e-06
keep,Keep my job for me while I give birth . Keep a diary .,1.870103e-06
defense,In defense he said the other man started it . The artillery battered down the defenses .,2.5676402e-06
take,We take all major credit cards . Do you take sugar in your coffee ?,0.999984
give,Give homage . She gave herself to many men .,7.829945e-06
check,Check the brakes . Check the oil in your car once a month .,0.9999999
restraint,The unlawful restraint of trade . Restraints imposed on imports .,6.310814e-05
hold,"He can hold his liquor . To carry well , i.e. to hold the head high , with arching neck .",0.037711706
visit,Did you ever visit Paris ? The principal visited his rage on the students .,2.039171e-05
line,A nice line of shoes . They were arrayed in line of battle .,2.5373765e-05
make,What do you make of his remarks ? Make a mistake .,1.03785666e-07
break,Can you break a hundred-dollar bill for me ? The wholesaler broke the container loads into palettes and boxes for local retailers .,1.0
point,Life has lost its point . He broke the point of his pencil .,0.0006462265
product,That store offers a variety of products . That store offers a variety of products .,1.0
cover,The grant does n't cover my salary . The President covered the fact that he bugged the offices in the White House .,0.037711702
run,Run a subject . I 'm not ready to run a marathon .,5.5400227e-07
accept,I can not accept your invitation . We accept the idea of universal health care .,7.8558434e-05
action,The piano had a very stiff action . A rifle action .,0.53766453
contact,Contact with the pier scraped paint from the hull . The pilot made contact with the base .,0.0002103999
carry,Put down 5 and carry 2 . I am carrying his child .,0.0008145258
cut,Would you please cut the cake ? Cut a hole .,1.711908e-06
gather,Gather some stones . Herman gathered the students together .,0.99999833
admit,To admit a serious thought into the mind . This pipe admits air .,0.99998444
side,It brought out his better side . The Confederate side was prepared to attack .,0.0004725322
draw,Draw a weapon . A ship draws ten feet of water .,3.4042035e-08
wall,A wall of prejudice . The container 's walls were blue .,4.028833e-05
carry,The airwaves carry the sound . Sound carries well over water .,0.9999577
carry,These bonds carry warrants . The dog was taught to fetch and carry .,3.2761495e-06
turn,Turn the corner . We turned from Socialism to Capitalism .,1.0063674e-06
carry,The dog was taught to fetch and carry . Carry a cause .,9.441748e-07
radiate,Spokes radiate from the hub of the wheel . The heat radiates from a stove .,7.073055e-05
choke,Choke a carburetor . The pirate choked the sailor to death .,1.2090861e-05
church,There is a lovely little church in the valley . The church was empty .,0.999892
take,Do you take me for a fool ? I take it you 're not going ?,1.0
connect,"Operator , could you connect me to the Raffles in Singapore ? These computers connected well .",9.306007e-05
give,The French doors give onto a terrace . The wall gave in .,2.606659e-05
return,His gross income was enough that he had to file a tax return . On his return from Australia we gave him a welcoming party .,0.037711702
action,He is out of action . The piano had a very stiff action .,0.0001611115
head,Tickets are $ 5 per head . We will consider performance issues under the head of future improvements .,0.00068726676
hand,"On the one hand ... , but on the other hand ... All hands on deck .",2.0519625e-05
spring,"The emerging buds were a sure sign of spring . You can visit me in the spring , when the weather is bearable .",1.0
describe,"The feeling is difficult to describe , but not unpleasant . He described what we should do .",1.0
know,Do you know my sister ? I know him under a different name .,0.99991083
turn,Turn your face to the wall . The people turned against the President when he stole the election .,1.619952e-07
world,He sailed around the world . All the world loves a lover .,0.0002556767
ride,I ride to work in a bus . She rode a wave of popularity .,5.6350375e-05
take,We take the Times every day . Take action .,9.073623e-06
material,She was vice-presidential material . He was university material .,0.99999976
work,This dough does not work easily . Can you work an electric drill ?,0.00071359193
come,Come into contact with a terrorist group . Where did you come from ?,3.4513894e-07
fire,"In warfare , whoever opens fire first has a greater chance of victory . Surrender fires the cold skepticism .",5.5251128e-08
cover,Cover the grave with flowers . She covered herself with glory .,1.724039e-06
point,What is the point of discussing it ? He stuck the point of the knife into a tree .,0.00025672442
play,It was all done in play . Rain stopped play in the 4th inning .,2.5117808e-05
chance,You take a chance when you let her drive . We had the chance to meet the president last week .,1.49755615e-05
cup,He swore as the ball rimmed the cup and rolled away . He drank a cup of coffee .,0.0008942056
drop,A drop of each sample was analyzed . They expected the drop would be successful .,5.3575957e-05
focus,Please focus on your studies and not on your hobbies . Focus on passing the test .,1.0
point,He broke the point of his pencil . He stuck the point of the knife into a tree .,0.9926794
collision,The collision of the two ships resulted in a serious oil spill . Three passengers were killed in the collision .,0.99999565
take,Do you take me for a fool ? He was often taken to be a man of means .,1.0
plug,Plug the wall . He attempted to plug the leaks with some caulk .,0.47648004
mean,The sky is red this morning — does that mean we 're in for a storm ? My ex-husband means nothing to me .,0.037711702
washout,It was several days after the storm before they could repair the washout and open the road . From the house they watched the washout of their newly seeded lawn by the water .,0.00034180723
shell,Nuts shell in falling . Wheat or rye shells in reaping .,0.999829
make,Make lead into gold . How much do you make a month in your new job ?,1.5405018e-06
run,The crowd had to run away from the burning structure with only the clothes on their backs . Who 's running for treasurer this year ?,0.037711702
leave,Leave the flowers that you see in the park behind . The wound I got in my car accident left behind a massive scar .,1.0
thing,How could you do such a thing ? He has a thing about seafood .,0.00013333012
land,It can be tricky to land a helicopter . Use the net to land the fish .,0.9999949
air,There was a tension in the air which made me suspect an approaching storm . Open a window and let in some air .,0.9999996
make,Make a phone call . They make a cute couple .,3.159051e-08
house,The house gets a percentage of every bet . He has a house on Cape Cod .,0.00022995056
custody,He was mistreated while in police custody . The suspect is in custody .,8.175626e-06
respect,"He is an intellectual giant , and I have great respect for him . Be sure to give my respects to the dean .",0.03771172
stain,People knew how to stain glass a beautiful blue in the middle ages . Stain this table a beautiful walnut color .,0.99999994
run,The sale will run for ten days . The book runs 655 pages .,1.0
strike,Please strike this remark from the record . We must strike the enemy 's oil fields .,2.551196e-05
take,I used to take The Sunday Times . You ca n't take credit for this !,0.00022287358
continue,We can not continue several servants any longer . The bad weather continued for two more weeks .,0.00022339594
play,Play the stock market . Play cards .,0.00072585355
loaf,Sugar loaf . A loaf of cheese .,1.0
carry,You must carry your camping gear . Amanda carried the package .,1.0
