Target Word,Joined,Label
carry,You must carry your camping gear . Sound carries well over water .,0.39091995
go,Messages must go through diplomatic channels . Do you think the sofa will go through the door ?,3.783608e-08
break,Break an alibi . The wholesaler broke the container loads into palettes and boxes for local retailers .,1.0346897e-08
cup,He wore a jock strap with a metal cup . Bees filled the waxen cups with honey .,0.89089715
academy,The Academy of Music . The French Academy .,0.0014230357
set,Set the table . To set glass in a sash .,0.0002066289
starch,Starch clothes . She starched her blouses .,0.87047356
take,Do you take sugar in your coffee ? A reading was taken of the earth 's tremors .,5.664329e-09
avoid,I try to avoid the company of gamblers . We avoided the ball .,0.8909018
clearance,"He got clearance to travel to America , even though he had previous links to terrorists . The plane got clearance from air traffic control , and we were off .",0.89089966
come,Come out of the closet ! He came singing down the road .,0.8102803
coverage,"Before laying sod on that clay , the ground needs two inches of coverage with topsoil . The dictionary 's coverage of standard English is excellent .",0.8909018
death,Her death came as a terrible shock . He had two deaths on his conscience .,8.7713616e-08
despite,The despite in which outsiders were held is legendary . She wanted neither favor nor despite .,4.541186e-07
school,A school of small glittering fish swam by . The divers encountered a huge school of mackerel .,0.6300818
go,We should go farther in this matter . She went through a lot of trouble .,0.8909018
action,The United Nations must have the power to propose and organize action without being hobbled by irrelevant issues . Recent federal action undermined the segregationist position .,0.8909018
fall,Fall by the wayside . The cities fell to the enemy .,0.00022356378
work,This dough does not work easily . Work the phones .,8.717576e-05
shock,The armies met in the shock of battle . The train hit the buffers with a great shock .,8.1440936e-07
play,This speech did n't play well with the American public . Play football .,0.00022237586
make,What do you make of his remarks ? Make a dress .,1.8168264e-06
end,The so-called glorious experiment came to an inglorious end . The end was exciting .,2.761795e-09
break,There was a break in the action when a player was hurt . He was up two breaks in the second set .,2.7735017e-05
life,It was a heavy play and the actors tried in vain to give life to it . The life of this milk carton may be thousands of years in this landfill .,0.39090222
person,"There was too much for one person to do . Each person is unique , both mentally and physically .",0.75202894
answer,Answer the door . She answered the door .,0.8909018
do,All you ever do is surf the Internet . A ' B ' grade does n't suffice to get me into medical school .,0.3040958
play,Play fair . Play football .,0.390904
see,What message do you see in this letter ? We had to see a psychiatrist .,0.0075495546
buff,To strip to the buff . Swimming in the buff .,0.88885903
boy,She made the boy brush his teeth every night . Most soldiers are only boys in uniform .,0.769482
picture,She was the picture of despair . The very picture of a modern general .,0.8746227
answer,She did n't want to answer . This may answer her needs .,0.2959436
head,Tickets are $ 5 per head . He is two heads taller than his little sister .,9.005811e-05
break,"Break into tears . If the vase falls to the floor , it might break .",1.7018948e-07
die,To die to pleasure or to sin . She died from cancer .,0.7124393
peak,The stock market reached a peak in September 1929 . Voltage peak .,0.890898
civilization,A hermit does n't much care for civilization . Early Mayan civilization .,0.73072803
carry,These bonds carry warrants . She carries her ideas to the extreme .,0.0027494307
shot,He wanted a shot at the champion . I caught him with a solid shot to the chin .,4.9967817e-05
body,"The body of the car was badly rusted . Penny was in the scullery , pressing the body of her new dress .",5.9266185e-05
cut,Cut a ticket . Cut orders .,0.81998456
recognition,She seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own . Give her recognition for trying .,0.39090565
shift,You have to shift when you go down a steep hill . He shifted in his seat .,4.1683325e-07
cube,A stock cube . A sugar cube .,0.8909018
follow,Let 's follow our great helmsman ! He followed his lecture with a question and answer period .,4.5327494e-07
apply,I apply this rule to get good results . Apply a magnetic field here .,0.6443047
fall,Fall asleep . She fell ill .,0.8909018
make,She may not make the grade . Make a stir .,0.00035396896
head,Under the head of minor Roman poets . They tracked him back toward the head of the stream .,4.5704592e-08
head,A reduction in the assessment per head of sheep . 200 head of cattle and 50 head of horses .,0.68794566
give,Give a divorce . The wall gave in .,0.0005845868
drive,To drive sheep out of a field . Drive the cows into the barn .,0.8909006
